Variant,Features,Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE
baseline,17,KNN,0.7606,0.0086,0.7521,19.84
baseline,17,Linear,0.7868,0.0066,0.7763,18.85
baseline,17,DTree,0.745,0.0058,0.7386,20.37
baseline,17,SVR-RBF,0.7843,0.0067,0.7739,18.95
baseline,17,NeuralNet,0.7886,0.0055,0.779,18.74
log,18,KNN,0.7618,0.0087,0.7513,19.88
log,18,Linear,0.7878,0.0065,0.7779,18.78
log,18,DTree,0.742,0.0075,0.7354,20.5
log,18,SVR-RBF,0.7843,0.0068,0.7741,18.94
log,18,NeuralNet,0.7887,0.0065,0.7792,18.73
poly,32,KNN,0.7613,0.0071,0.7537,19.78
poly,32,Linear,0.7918,0.0064,0.7832,18.56
poly,32,DTree,0.7359,0.0082,0.7451,20.12
poly,32,SVR-RBF,0.787,0.0061,0.7774,18.8
poly,32,NeuralNet,0.7868,0.0054,0.7791,18.73
log_poly,33,KNN,0.7619,0.0069,0.7543,19.75
log_poly,33,Linear,0.7919,0.0063,0.7833,18.55
log_poly,33,DTree,0.7365,0.0107,0.7383,20.39
log_poly,33,SVR-RBF,0.787,0.0061,0.7776,18.8
log_poly,33,NeuralNet,0.7869,0.0068,0.7775,18.8
squared,23,KNN,0.7591,0.0087,0.7483,19.99
squared,23,Linear,0.7918,0.0064,0.783,18.57
squared,23,DTree,0.7441,0.0071,0.7343,20.54
squared,23,SVR-RBF,0.7846,0.0064,0.775,18.91
squared,23,NeuralNet,0.7879,0.0056,0.779,18.74
all_enhanced,39,KNN,0.7617,0.0072,0.7541,19.76
all_enhanced,39,Linear,0.7924,0.0063,0.784,18.52
all_enhanced,39,DTree,0.738,0.0087,0.745,20.12
all_enhanced,39,SVR-RBF,0.7871,0.006,0.7778,18.79
all_enhanced,39,NeuralNet,0.7888,0.0065,0.7796,18.71
